MAE,RMSE,SFN,MAPE
158.27357,233.09218,1.2712305,0.42579105
84.69218,129.51643,0.8776022,0.23262598
89.027824,131.95221,0.91956794,0.26114342
87.960045,124.98593,0.88415635,0.25754833
80.49793,117.87718,0.8567162,0.21557668
101.93241,145.53773,0.8945408,0.2992232
86.85628,121.56647,0.86695004,0.25956768
85.93945,120.4714,0.8506125,0.25803944
70.68255,106.88777,0.81794685,0.1922498
84.509636,124.30442,0.8477329,0.24006745
90.34128,130.75256,0.91805875,0.27121505
75.86145,113.17822,0.83329964,0.21609317
71.99443,113.0563,0.8497188,0.19951479
133.35509,189.68092,1.0073344,0.40226826
189.0816,245.44986,1.2366328,0.54835445
78.10416,115.36455,0.8444067,0.2137281
78.4001,116.14083,0.83278036,0.1982281
93.58312,134.75897,0.8679482,0.25738093
178.79813,240.23059,1.2647638,0.49566877
87.03144,120.90922,0.85620517,0.2566057
160.85889,227.13037,1.1547792,0.48662812
86.58913,129.68169,0.8703551,0.24362992
283.49496,359.52448,1.6208372,0.84035015
76.37387,120.212776,0.8733692,0.19410051
82.136566,127.66996,0.86214864,0.19247364
95.47577,136.04346,0.87596714,0.27346015
94.53822,152.63493,0.93037784,0.21385956
80.05171,121.55155,0.8413154,0.2235945
102.07409,157.96707,1.0395879,0.28934827
137.109,188.32085,1.0208061,0.3974479
170.58911,263.71967,1.4581169,0.4671213
83.00085,128.99164,0.90526795,0.21158786
94.46964,142.52888,0.91410935,0.26122954
191.90598,265.62558,1.3291748,0.5994432
94.08388,136.18184,0.90636826,0.28938976
85.92143,127.83785,0.88396525,0.23610193
82.09955,118.995514,0.90406394,0.23289548
126.15653,168.60246,0.93939793,0.39283052
149.6975,205.61331,1.1309066,0.42055762
82.01126,119.22645,0.832308,0.25195006
97.17546,143.70642,0.955143,0.25312653
121.796234,165.43655,0.96284413,0.362631
209.90833,260.50473,1.1847684,0.6692032
88.70219,123.29251,0.8805126,0.27652544
75.01211,119.02087,0.84247375,0.19359693
131.84871,175.32259,0.9566914,0.3938441
80.40712,123.391205,0.8592844,0.21677478
79.49839,117.970406,0.9000486,0.21486673
120.836655,174.17484,1.0142958,0.3247904
108.737656,152.3932,0.9373672,0.31751418
119.2125,158.04083,0.9340178,0.36629978
92.52515,128.02199,0.84023297,0.2939525
88.22226,130.76772,0.9052651,0.23559596
111.18967,151.87979,0.9175207,0.33237857
122.56995,168.92209,0.9884106,0.35518572
84.12639,119.687965,0.83771944,0.25965664
86.45818,140.50606,0.8792269,0.20357767
115.74885,158.16098,0.92445236,0.35854557
130.96562,180.81615,1.0382714,0.37849653
81.040405,120.972275,0.8658064,0.23011692
126.21053,197.8624,1.1266813,0.35004482
109.26446,157.94873,0.9518101,0.33817548
276.8825,354.0657,1.6584082,0.8431068
81.06382,123.9641,0.9081476,0.20945957
84.5337,130.36975,0.9072578,0.2062267
86.578125,127.2287,0.8655789,0.24407712
88.24614,141.88129,0.9160718,0.204312
82.020645,125.19557,0.8664287,0.22355807
83.51935,122.531456,0.90143925,0.25036588
106.15425,148.13603,0.92452556,0.34447852
95.86056,146.05518,0.97864234,0.2975466
74.51942,112.894516,0.86360717,0.19604987
73.24659,119.7174,0.8724376,0.18859534
81.085014,124.39639,0.85871094,0.23062637
112.16617,156.39958,0.9349874,0.34783936
80.265915,119.6775,0.85961956,0.24644955
95.24137,138.45323,0.9795105,0.25902182
102.327934,142.18132,0.8957632,0.29782435
72.69382,111.50768,0.83405757,0.18911631
77.59266,118.197426,0.8307148,0.21782954
75.0773,123.43742,0.84050393,0.17781012
151.78784,200.12187,1.0270376,0.4686907
137.11821,185.18027,1.0560112,0.39896527
75.36792,115.86523,0.8373528,0.21096128
69.854805,107.24547,0.8384166,0.18020387
74.43863,111.528915,0.85100543,0.21563947
106.41346,146.64171,0.8911661,0.33711568
110.17206,159.5052,0.9862172,0.30405548
75.90237,121.16376,0.84642565,0.21122628
