MAE,MSE,SFN,MAPE
11.814897,18.057503,0.00018242867,0.09819147
22.488504,33.91889,0.00023946395,0.16812563
13.282276,21.464252,0.00018130719,0.09884836
17.581474,26.354082,0.00022444989,0.14532618
12.500722,22.088758,0.00019328187,0.088722594
19.320518,29.219498,0.00022035309,0.14863864
12.699054,20.287903,0.00017949328,0.095263
10.351496,15.713544,0.00020622644,0.08673943
14.247395,23.874762,0.00019004414,0.100406535
13.040475,18.386608,0.00017980304,0.113794595
12.334791,19.92035,0.00017641195,0.09363691
13.880129,22.86125,0.000213734,0.10308274
13.799043,22.846346,0.00018629721,0.10121595
33.92336,47.439766,0.00032698046,0.25676182
10.605629,17.030893,0.00016493298,0.08728924
21.481699,31.61612,0.00022943197,0.17015679
11.7349,18.106255,0.0001724563,0.099456556
16.72158,26.014091,0.00020672526,0.12693381
11.641537,17.393757,0.00016688863,0.108309805
21.847622,30.898079,0.00021886111,0.17905073
9.981393,16.540363,0.00016220652,0.077399984
11.4774885,17.058153,0.0001675617,0.09559306
11.8056,18.245434,0.00016647829,0.09245677
10.033854,15.635083,0.00016716598,0.08218374
11.613415,18.976048,0.00017106989,0.09405335
10.823988,16.716469,0.0001780012,0.090584986
12.93815,21.705835,0.00017506594,0.0927148
19.430101,27.706926,0.00019646903,0.1619623
11.778559,22.989801,0.00021731116,0.0839043
23.826735,33.96026,0.0002555818,0.18766657
12.577508,19.820608,0.0001708295,0.09157309
17.359728,25.15363,0.00019561365,0.14519735
11.396501,19.367617,0.0001686028,0.08247256
12.181163,19.04114,0.0001848412,0.09626139
11.857697,19.47866,0.00017026842,0.08696997
21.985884,31.153936,0.00021874018,0.17796092
12.92106,21.82905,0.00017441328,0.08913971
13.044125,19.731007,0.00017704663,0.10718221
16.091751,24.32396,0.00017652336,0.116160534
9.384727,14.943471,0.00015997043,0.08080375
10.313379,16.324654,0.00015961667,0.07936923
10.051364,15.123452,0.00016567437,0.08519897
13.545582,21.49072,0.00018001185,0.10041947
11.563987,17.771315,0.00017312184,0.100662164
14.164199,24.549957,0.00019078626,0.09669152
28.463373,36.724445,0.00023402798,0.24954446
12.368911,21.025827,0.00017224523,0.08934439
11.036318,15.986931,0.00015902196,0.1066226
12.966222,20.885324,0.00017239312,0.09252327
13.521866,20.287628,0.00019895069,0.11437136
13.076922,22.568178,0.00017927356,0.091502495
9.586572,15.115124,0.00015680148,0.07586271
14.578669,22.971123,0.00017697072,0.10153504
9.033275,14.368936,0.00015742809,0.07655717
11.789418,18.542007,0.00016497048,0.08667985
9.899682,16.454002,0.00016581049,0.07828501
18.321714,26.645153,0.00018219101,0.13351855
25.286442,37.517128,0.00023204465,0.17151634
12.758917,20.680498,0.00016742643,0.09148472
18.695217,23.977873,0.00018994224,0.1784422
10.122987,17.064259,0.00016371033,0.07718752
26.054588,35.988026,0.00020936591,0.1987748
17.726772,26.790468,0.0001801026,0.12679952
14.220882,21.78713,0.00016977407,0.11071645
12.925523,20.450329,0.00016878749,0.09860423
12.9924345,19.2743,0.00020956116,0.114657074
